Program	real	user	sys
PermSortPeano_kmcc	8.83	6.31	2.51
PrimesHO_kmcc	0.08	0.07	0.00
PrimesHO_kmcc	0.08	0.07	0.00
PrimesHO_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
Queens_kmcc	0.08	0.07	0.00
ReverseHO_kmcc	0.17	0.15	0.01
ReverseHO_kmcc	0.17	0.14	0.03
ReverseHO_kmcc	0.17	0.13	0.04
Select_kmcc	0.01	0.00	0.00
Select_kmcc	0.01	0.00	0.00
Select_kmcc	0.01	0.00	0.00
SortPrimes_kmcc	0.01	0.00	0.00
SortPrimes_kmcc	0.01	0.00	0.00
SortPrimes_kmcc	0.01	0.00	0.00
TakInt_kmcc	0.03	0.01	0.00
TakInt_kmcc	0.03	0.02	0.00
TakInt_kmcc	0.03	0.01	0.00
TakPeano_kmcc	0.05	0.04	0.00
TakPeano_kmcc	0.05	0.05	0.00
TakPeano_kmcc	0.05	0.05	0.00
YesSharingAcrossND_kmcc	0.02	0.01	0.00
YesSharingAcrossND_kmcc	0.02	0.01	0.00
YesSharingAcrossND_kmcc	0.02	0.01	0.00
NoSharingAcrossND_kmcc	0.02	0.01	0.00
NoSharingAcrossND_kmcc	0.02	0.00	0.01
NoSharingAcrossND_kmcc	0.02	0.01	0.00
AddNum_kmccD	4.56	3.53	0.06
AddNum_kmccD	3.62	3.53	0.08
AddNum_kmccD	3.58	3.50	0.08
AddNum5_kmccD	3.60	2.57	0.05
AddNum5_kmccD	2.56	2.52	0.04
AddNum5_kmccD	2.81	2.77	0.04
NRev_kmccD	4.65	3.78	0.00
NRev_kmccD	3.43	3.41	0.01
NRev_kmccD	3.45	3.43	0.00
PermSort_kmccD	12.13	8.33	2.58
PermSort_kmccD	10.84	8.34	2.49
PermSort_kmccD	10.84	8.18	2.66
PermSortPeano_kmccD	12.96	9.58	2.53
PermSortPeano_kmccD	12.12	9.47	2.65
PermSortPeano_kmccD	12.11	9.48	2.63
PrimesHO_kmccD	9.57	8.39	0.03
PrimesHO_kmccD	8.36	8.35	0.01
PrimesHO_kmccD	8.35	8.32	0.02
Queens_kmccD	215.08	213.78	0.36
Queens_kmccD	214.04	213.77	0.39
Queens_kmccD	214.79	214.56	0.36
ReverseHO_kmccD	3.63	2.48	0.29
ReverseHO_kmccD	2.73	2.42	0.30
ReverseHO_kmccD	2.74	2.48	0.25
Select_kmccD	1.08	0.09	0.01
Select_kmccD	0.03	0.02	0.00
Select_kmccD	0.04	0.02	0.00
SortPrimes_kmccD	5.87	4.77	0.03
SortPrimes_kmccD	4.87	4.85	0.02
SortPrimes_kmccD	4.32	4.30	0.01
TakInt_kmccD	11.82	10.89	0.02
TakInt_kmccD	10.96	10.95	0.01
TakInt_kmccD	10.92	10.90	0.01
TakPeano_kmccD	8.15	7.31	0.02
TakPeano_kmccD	7.24	7.22	0.02
TakPeano_kmccD	7.24	7.22	0.01
YesSharingAcrossND_kmccD	3.83	2.68	0.03
YesSharingAcrossND_kmccD	2.66	2.64	0.01
YesSharingAcrossND_kmccD	2.67	2.65	0.01
NoSharingAcrossND_kmccD	3.91	2.74	0.03
NoSharingAcrossND_kmccD	2.73	2.71	0.01
NoSharingAcrossND_kmccD	2.73	2.71	0.01
